asm_area_code,customer_code,Year,Month,labor_in_person_days
BIHAE,2398,2012,11,4
BIHAE,2398,2012,12,0
BIHAE,2398,2013,1,1
BIHAE,2398,2013,2,0
BIHAE,2398,2013,3,0
BIHAE,2398,2013,4,12
BIHAE,2398,2013,5,0
BIHAE,2398,2013,6,0
BIHAE,2544,2013,4,1
BIHAE,2544,2013,5,4
BIHAE,2544,2013,6,3
BIHAE,2544,2013,7,4
BIHAE,2544,2013,8,13
BIHAE,2544,2013,9,9
BIHAE,2544,2013,10,5
BIHAE,2544,2013,11,12
BIHAE,2544,2013,12,21
BIHAE,2628,2013,7,0
BIHAE,2628,2013,8,5
BIHAE,2628,2013,9,2
BIHAE,2628,2013,10,3
BIHAE,2628,2013,11,0
BIHAE,2628,2013,12,10
BIHAW,29,2011,4,40
BIHAW,29,2011,5,23
BIHAW,29,2011,6,28
BIHAW,29,2011,7,24
BIHAW,29,2011,8,19
BIHAW,29,2011,9,29
BIHAW,29,2011,10,25
BIHAW,29,2011,11,28
BIHAW,29,2011,12,56
BIHAW,29,2012,1,79
BIHAW,29,2012,2,44
BIHAW,29,2012,3,19
BIHAW,29,2012,4,23
BIHAW,29,2012,5,16
BIHAW,29,2012,6,11
BIHAW,29,2012,7,12
BIHAW,29,2012,8,16
BIHAW,29,2012,9,16
BIHAW,29,2012,10,15
BIHAW,29,2012,11,15
BIHAW,29,2012,12,21
BIHAW,29,2013,1,22
BIHAW,29,2013,2,51
BIHAW,29,2013,3,16
BIHAW,29,2013,4,53
BIHAW,29,2013,5,89
BIHAW,29,2013,6,79
BIHAW,29,2013,7,11
BIHAW,29,2013,8,66
BIHAW,29,2013,9,81
BIHAW,29,2013,10,110
BIHAW,29,2013,11,151
BIHAW,29,2013,12,172
BIHAW,32,2011,4,3
BIHAW,32,2011,5,1
BIHAW,32,2011,6,2
BIHAW,32,2011,7,6
BIHAW,32,2011,8,4
BIHAW,32,2011,9,4
BIHAW,32,2011,10,3
BIHAW,32,2011,11,1
BIHAW,32,2011,12,5
BIHAW,32,2012,1,2
BIHAW,32,2012,2,2
BIHAW,32,2012,3,5
BIHAW,32,2012,4,4
BIHAW,32,2012,5,8
BIHAW,32,2012,6,2
BIHAW,32,2012,7,0
BIHAW,32,2012,8,3
BIHAW,32,2012,9,2
BIHAW,32,2012,10,0
BIHAW,32,2012,11,3
BIHAW,32,2012,12,1
BIHAW,32,2013,1,0
BIHAW,32,2013,2,0
BIHAW,32,2013,3,0
BIHAW,32,2013,4,5
BIHAW,32,2013,5,6
BIHAW,32,2013,6,16
BIHAW,32,2013,7,9
BIHAW,32,2013,8,13
BIHAW,32,2013,9,16
BIHAW,32,2013,10,11
BIHAW,32,2013,11,20
BIHAW,32,2013,12,22
BIHAW,34,2011,4,1
BIHAW,34,2011,5,0
BIHAW,34,2011,6,1
BIHAW,34,2011,7,0
BIHAW,34,2011,8,3
BIHAW,34,2011,9,13
BIHAW,34,2011,10,1
BIHAW,34,2011,11,2
BIHAW,34,2011,12,0
BIHAW,34,2012,1,4
BIHAW,34,2012,2,4
BIHAW,34,2012,3,0
BIHAW,34,2012,4,0
BIHAW,34,2012,5,1
BIHAW,34,2012,6,1
BIHAW,34,2012,7,0
BIHAW,34,2012,8,0
BIHAW,34,2012,9,1
BIHAW,34,2012,10,0
BIHAW,34,2012,11,1
BIHAW,34,2012,12,0
BIHAW,34,2013,1,9
BIHAW,34,2013,2,22
BIHAW,34,2013,3,47
BIHAW,34,2013,4,48
BIHAW,34,2013,5,54
BIHAW,34,2013,6,45
BIHAW,34,2013,7,46
BIHAW,34,2013,8,54
BIHAW,34,2013,9,50
BIHAW,34,2013,10,46
BIHAW,34,2013,11,53
BIHAW,34,2013,12,50
BIHAW,469,2011,4,0
BIHAW,469,2011,5,0
BIHAW,469,2011,6,1
BIHAW,469,2011,7,0
BIHAW,469,2011,8,0
BIHAW,469,2011,9,0
BIHAW,469,2011,10,0
BIHAW,469,2011,11,0
BIHAW,469,2011,12,2
BIHAW,469,2012,1,0
BIHAW,469,2012,2,0
BIHAW,469,2012,3,0
BIHAW,469,2012,4,0
BIHAW,469,2012,5,0
BIHAW,469,2012,6,1
BIHAW,469,2012,7,1
BIHAW,469,2012,8,0
BIHAW,469,2012,9,0
BIHAW,469,2012,10,1
BIHAW,469,2012,11,0
BIHAW,469,2012,12,1
BIHAW,469,2013,1,0
BIHAW,469,2013,2,1
BIHAW,469,2013,3,5
BIHAW,469,2013,4,24
BIHAW,469,2013,5,25
BIHAW,469,2013,6,24
BIHAW,469,2013,7,23
BIHAW,469,2013,8,25
BIHAW,469,2013,9,22
BIHAW,469,2013,10,23
BIHAW,469,2013,11,25
BIHAW,469,2013,12,26
BIHAW,535,2011,4,0
BIHAW,535,2011,5,1
BIHAW,535,2011,6,1
BIHAW,535,2011,7,0
BIHAW,535,2011,8,0
BIHAW,535,2011,9,0
BIHAW,535,2011,10,0
BIHAW,535,2011,11,0
BIHAW,535,2011,12,0
BIHAW,535,2012,1,0
BIHAW,535,2012,2,0
BIHAW,535,2012,3,0
BIHAW,535,2012,4,0
BIHAW,535,2012,5,0
BIHAW,535,2012,6,0
BIHAW,535,2012,7,0
BIHAW,535,2012,8,0
BIHAW,535,2012,9,0
BIHAW,535,2012,10,0
BIHAW,535,2012,11,0
BIHAW,535,2012,12,0
BIHAW,535,2013,1,0
BIHAW,535,2013,2,0
BIHAW,535,2013,3,0
BIHAW,535,2013,4,0
BIHAW,535,2013,5,0
BIHAW,535,2013,6,0
BIHAW,535,2013,7,0
BIHAW,535,2013,8,0
BIHAW,535,2013,9,0
BIHAW,535,2013,10,0
BIHAW,535,2013,11,0
BIHAW,535,2013,12,0
BIHAW,547,2011,4,0
BIHAW,547,2011,5,2
BIHAW,547,2011,6,0
BIHAW,547,2011,7,0
BIHAW,547,2011,8,2
BIHAW,547,2011,9,1
BIHAW,547,2011,10,2
BIHAW,547,2011,11,1
BIHAW,547,2011,12,0
BIHAW,547,2012,1,0
BIHAW,547,2012,2,0
BIHAW,547,2012,3,0
BIHAW,547,2012,4,3
BIHAW,547,2012,5,1
BIHAW,547,2012,6,1
BIHAW,547,2012,7,0
BIHAW,547,2012,8,6
BIHAW,547,2012,9,4
BIHAW,547,2012,10,8
BIHAW,547,2012,11,6
BIHAW,547,2012,12,12
BIHAW,547,2013,1,13
BIHAW,547,2013,2,9
BIHAW,547,2013,3,2
BIHAW,547,2013,4,16
BIHAW,547,2013,5,19
BIHAW,547,2013,6,19
BIHAW,547,2013,7,18
BIHAW,547,2013,8,20
BIHAW,547,2013,9,16
BIHAW,547,2013,10,22
BIHAW,547,2013,11,23
BIHAW,547,2013,12,21
BIHAW,566,2011,4,1
BIHAW,566,2011,5,5
BIHAW,566,2011,6,1
BIHAW,566,2011,7,1
BIHAW,566,2011,8,1
BIHAW,566,2011,9,3
BIHAW,566,2011,10,5
BIHAW,566,2011,11,2
BIHAW,566,2011,12,8
BIHAW,566,2012,1,2
BIHAW,566,2012,2,2
BIHAW,566,2012,3,0
BIHAW,566,2012,4,7
BIHAW,566,2012,5,2
BIHAW,566,2012,6,1
BIHAW,566,2012,7,3
BIHAW,566,2012,8,1
BIHAW,566,2012,9,0
BIHAW,746,2011,4,4
BIHAW,746,2011,5,6
BIHAW,746,2011,6,7
BIHAW,746,2011,7,10
BIHAW,746,2011,8,14
BIHAW,746,2011,9,12
BIHAW,746,2011,10,8
BIHAW,746,2011,11,5
BIHAW,746,2011,12,6
BIHAW,746,2012,1,2
BIHAW,746,2012,2,4
BIHAW,746,2012,3,5
BIHAW,746,2012,4,2
BIHAW,746,2012,5,5
BIHAW,746,2012,6,5
BIHAW,746,2012,7,5
BIHAW,746,2012,8,8
BIHAW,746,2012,9,6
BIHAW,746,2012,10,3
BIHAW,746,2012,11,5
BIHAW,746,2012,12,4
BIHAW,746,2013,1,12
BIHAW,746,2013,2,25
BIHAW,746,2013,3,14
BIHAW,746,2013,4,42
BIHAW,746,2013,5,46
BIHAW,746,2013,6,41
BIHAW,746,2013,7,26
BIHAW,746,2013,8,45
BIHAW,746,2013,9,37
BIHAW,746,2013,10,45
BIHAW,746,2013,11,43
BIHAW,746,2013,12,49
BIHAW,1360,2011,4,14
BIHAW,1360,2011,5,6
BIHAW,1360,2011,6,5
BIHAW,1360,2011,7,8
BIHAW,1360,2011,8,8
BIHAW,1360,2011,9,11
BIHAW,1360,2011,10,8
BIHAW,1360,2011,11,5
BIHAW,1360,2011,12,18
BIHAW,1360,2012,1,32
BIHAW,1360,2012,2,15
BIHAW,1360,2012,3,6
BIHAW,1360,2012,4,12
BIHAW,1360,2012,5,9
BIHAW,1360,2012,6,11
BIHAW,1360,2012,7,8
BIHAW,1360,2012,8,8
BIHAW,1360,2012,9,12
BIHAW,1360,2012,10,16
BIHAW,1360,2012,11,9
BIHAW,1360,2012,12,12
BIHAW,1360,2013,1,17
BIHAW,1360,2013,2,11
BIHAW,1360,2013,3,8
BIHAW,1360,2013,4,40
BIHAW,1360,2013,5,31
BIHAW,1360,2013,6,37
BIHAW,1360,2013,7,13
BIHAW,1360,2013,8,43
BIHAW,1360,2013,9,106
BIHAW,1360,2013,10,100
BIHAW,1360,2013,11,124
BIHAW,1360,2013,12,126
BIHAW,1365,2011,4,1
BIHAW,1365,2011,5,0
BIHAW,1365,2011,6,0
BIHAW,1365,2011,7,0
BIHAW,1365,2011,8,0
BIHAW,1365,2011,9,0
BIHAW,1411,2011,4,0
BIHAW,1411,2011,5,3
BIHAW,1411,2011,6,2
BIHAW,1411,2011,7,2
BIHAW,1411,2011,8,4
BIHAW,1411,2011,9,1
BIHAW,1411,2011,10,2
BIHAW,1411,2011,11,0
BIHAW,1411,2011,12,0
BIHAW,1411,2012,1,0
BIHAW,1411,2012,2,1
BIHAW,1411,2012,3,1
BIHAW,1411,2012,4,0
BIHAW,1411,2012,5,0
BIHAW,1411,2012,6,0
BIHAW,1411,2012,7,0
BIHAW,1411,2012,8,0
BIHAW,1411,2012,9,0
BIHAW,1411,2012,10,0
BIHAW,1411,2012,11,1
BIHAW,1411,2012,12,1
BIHAW,1411,2013,1,4
BIHAW,1411,2013,2,2
BIHAW,1411,2013,3,3
BIHAW,1411,2013,4,11
BIHAW,1411,2013,5,14
BIHAW,1411,2013,6,25
BIHAW,1411,2013,7,12
BIHAW,1411,2013,8,22
BIHAW,1411,2013,9,22
BIHAW,1411,2013,10,20
BIHAW,1411,2013,11,23
BIHAW,1411,2013,12,24
BIHAW,1833,2011,4,1
BIHAW,1833,2011,5,0
BIHAW,1833,2011,6,1
BIHAW,1833,2011,7,2
BIHAW,1833,2011,8,3
BIHAW,1833,2011,9,1
BIHAW,1833,2011,10,1
BIHAW,1833,2011,11,1
BIHAW,1833,2011,12,2
BIHAW,1833,2012,1,0
BIHAW,1833,2012,2,0
BIHAW,1833,2012,3,1
BIHAW,1833,2012,4,1
BIHAW,1833,2012,5,1
BIHAW,1833,2012,6,2
BIHAW,1833,2012,7,1
BIHAW,1833,2012,8,1
BIHAW,1833,2012,9,1
BIHAW,1833,2012,10,3
BIHAW,1833,2012,11,1
BIHAW,1833,2012,12,1
BIHAW,1833,2013,1,5
BIHAW,1833,2013,2,2
BIHAW,1833,2013,3,3
BIHAW,1833,2013,4,11
BIHAW,1833,2013,5,19
BIHAW,1833,2013,6,15
BIHAW,1833,2013,7,14
BIHAW,1833,2013,8,17
BIHAW,1833,2013,9,18
BIHAW,1833,2013,10,21
BIHAW,1833,2013,11,22
BIHAW,1833,2013,12,24
BIHAW,1853,2011,4,6
BIHAW,1853,2011,5,5
BIHAW,1853,2011,6,2
BIHAW,1853,2011,7,0
BIHAW,1853,2011,8,0
BIHAW,1853,2011,9,0
BIHAW,1853,2011,10,0
BIHAW,1853,2011,11,0
BIHAW,1853,2011,12,0
BIHAW,1853,2012,1,0
BIHAW,1853,2012,2,1
BIHAW,1853,2012,3,0
BIHAW,1853,2012,4,0
BIHAW,1853,2012,5,0
BIHAW,1853,2012,6,0
BIHAW,1853,2012,7,0
BIHAW,1853,2012,8,0
BIHAW,1853,2012,9,0
BIHAW,1853,2012,10,0
BIHAW,1853,2012,11,0
BIHAW,1853,2012,12,0
BIHAW,1853,2013,1,1
BIHAW,1853,2013,2,0
BIHAW,1853,2013,3,0
BIHAW,1853,2013,4,13
BIHAW,1853,2013,5,11
BIHAW,1853,2013,6,19
BIHAW,1853,2013,7,12
BIHAW,1853,2013,8,1
BIHAW,1853,2013,9,4
BIHAW,1853,2013,10,18
BIHAW,1853,2013,11,20
BIHAW,1853,2013,12,20
BIHAW,1872,2011,4,3
BIHAW,1872,2011,5,4
BIHAW,1872,2011,6,1
BIHAW,1872,2011,7,4
BIHAW,1872,2011,8,0
BIHAW,1872,2011,9,4
BIHAW,1872,2011,10,1
BIHAW,1872,2011,11,0
BIHAW,1872,2011,12,0
BIHAW,1872,2012,1,2
BIHAW,1872,2012,2,0
BIHAW,1872,2012,3,0
BIHAW,1872,2012,4,0
BIHAW,1872,2012,5,0
BIHAW,1872,2012,6,2
BIHAW,1872,2012,7,1
BIHAW,1872,2012,8,2
BIHAW,1872,2012,9,0
BIHAW,1872,2012,10,2
BIHAW,1872,2012,11,0
BIHAW,1872,2012,12,0
BIHAW,1872,2013,1,1
BIHAW,1872,2013,2,17
BIHAW,1872,2013,3,11
BIHAW,1872,2013,4,22
BIHAW,1872,2013,5,21
BIHAW,1872,2013,6,18
BIHAW,1872,2013,7,16
BIHAW,1872,2013,8,21
BIHAW,1872,2013,9,20
BIHAW,1872,2013,10,21
BIHAW,1872,2013,11,24
