customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
2141,Bangaqore,BANG,12,2012,6335412.258,0,251541.069,0,6083871.189
275,Eastern UP,EASTU,4,2013,2614733.042,103430.94,1724623.23,0,890109.812
832,Mumbas 1,MUMB1,11,2012,17695118.25,1.645,215181.254,0,17479937
343,Bengaq South,BENGS,6,2012,1554357.849,0,654206.822,0,900151.027
595,Chennas,CHEN,3,2013,2556056.175,348882.778,606223.741,0,1949832.434
1094,Vsjaywada,VIJA,8,2013,934186.772,528722.754,533075.61,0,401111.162
1489,Mumbas 2,MUMB2,11,2012,3276775.452,522020.62,750385.502,0,2526389.95
1414,Western MP,WESTM,1,2011,2362754.8,60939.67,102283.12,0,2260471.68
1094,Vsjaywada,VIJA,1,2012,2227813.929,66399.36,1762110.024,0,465703.905
2084,Western UP,WESTU,5,2013,458631.099,0,123141.191,0,335489.908
1948,Bshar East,BIHAE,8,2013,1036224.541,210673.037,622369.774,0,413854.767
44,Vsjaywada,VIJA,2,2013,1695868.665,380655.24,828514.64,0,867354.025
360,Jharhhand,JHAR,9,2012,6635173.384,503022.369,2847321.883,0,3787851.501
2674,Western UP,WESTU,8,2013,218307.164,46972.7,155129.082,0,63178.082
1877,Eastern MP,EASTM,11,2012,2637521.863,631753.61,1469389.448,0,1168132.415
1014,Hyderabad 2,HYDE2,11,2013,1863461.695,0,539759.936,0,1323701.759
1198,Pune North,PUNEN,8,2012,800560.048,403150.596,594316.762,0,206243.286
1653,Hyderabad 2,HYDE2,7,2011,2541188.21,488369.39,676673.76,0,1864514.45
1822,Eastern MP,EASTM,2,2011,4186876.15,1125323.14,1142261.59,0,3044614.56
1384,Keraqa,KERA,10,2013,1109511.78,0,696546.22,0,412965.56
473,Hyderabad 2,HYDE2,10,2012,2051583.757,1119623.2,1642451.118,0,409132.639
278,Eastern UP,EASTU,5,2013,1406845.84,1394052.2,1406845.84,0,0
1337,Hyderabad 2,HYDE2,11,2013,1245811.97,0,474986.58,0,770825.39
1575,Pune North,PUNEN,6,2013,906129.658,115137.802,365548.982,0,540580.676
83,Pune South,PUNES,1,2011,2904175.38,0,1788194.91,0,1115980.47
1738,Haryana & HP,HARY&,2,2013,727672.707,0,178663.07,0,549009.637
2316,Hyderabad 2,HYDE2,4,2013,1220495.655,99047.97,446296.725,0,774198.93
600,Punjab,PUNJ,4,2012,8914876.317,384982.5,3995610.334,0,4919265.983
542,Jharhhand,JHAR,3,2012,205654.55,0,184154.87,0,21499.68
1295,Bengaq South,BENGS,3,2012,1717524.09,770387.98,968046.98,0,749477.11
185,Deqhs Metro,DELHM,5,2011,7614140.49,1206507.95,2384466.77,0,5229673.72
1558,Bengaq South,BENGS,10,2012,2083123.944,0,558976.494,0,1524147.45
56,Mumbas 1,MUMB1,10,2012,14997862.45,1602609.899,4975691.698,0,10022170.75
1055,Western MP,WESTM,2,2013,6892028.652,1008105.69,1584472.59,0,5307556.062
393,Haryana & HP,HARY&,2,2012,5284752.648,76427.82,700021.139,0,4584731.509
2141,Bangaqore,BANG,6,2012,4804991.02,0,68856.569,0,4736134.451
1067,Pune South,PUNES,3,2012,3897328.533,1254440.693,1472459.942,0,2424868.591
