asm_area_code,customer_code,Year,Month,Retailers,Invoices,Retailers_Univ,EC
BIHAW,34,2011,11,360,568,372,0.967741935
BIHAW,34,2011,12,364,852,372,0.978494624
BIHAW,34,2012,1,361,518,372,0.970430108
BIHAW,34,2012,2,391,983,391,1.0
BIHAW,34,2012,3,270,307,391,0.690537084
BIHAW,34,2012,4,390,579,391,0.997442455
BIHAW,34,2012,5,389,642,391,0.99488491
BIHAW,34,2012,6,372,659,391,0.95140665
BIHAW,34,2012,7,362,644,390,0.928205128
BIHAW,34,2012,8,275,489,386,0.712435233
BIHAW,34,2012,9,312,673,374,0.834224599
BIHAW,34,2012,10,327,471,365,0.8958904109999999
BIHAW,34,2012,11,362,653,371,0.97574124
BIHAW,34,2012,12,264,467,371,0.7115902959999999
BIHAW,34,2013,1,372,991,373,0.997319035
BIHAW,34,2013,2,357,736,373,0.957104558
BIHAW,34,2013,3,367,1044,373,0.983914209
BIHAW,34,2013,4,371,1179,372,0.997311828
BIHAW,34,2013,5,372,1158,373,0.997319035
BIHAW,34,2013,6,369,1038,373,0.989276139
BIHAW,34,2013,7,373,983,373,1.0
BIHAW,34,2013,8,373,1124,373,1.0
BIHAW,34,2013,9,373,1107,373,1.0
BIHAW,34,2013,10,373,1035,373,1.0
BIHAW,34,2013,11,373,1197,373,1.0
BIHAW,34,2013,12,373,1111,373,1.0
BIHAW,469,2011,4,209,316,210,0.995238095
BIHAW,469,2011,5,184,270,210,0.876190476
BIHAW,469,2011,6,201,302,210,0.957142857
BIHAW,469,2011,7,199,354,210,0.947619048
BIHAW,469,2011,8,207,360,211,0.981042654
BIHAW,469,2011,9,204,351,213,0.957746479
BIHAW,469,2011,10,214,334,217,0.986175115
BIHAW,469,2011,11,217,302,218,0.995412844
BIHAW,469,2011,12,215,376,220,0.977272727
BIHAW,469,2012,1,174,296,222,0.783783784
BIHAW,469,2012,2,223,394,224,0.995535714
BIHAW,469,2012,3,219,285,224,0.977678571
BIHAW,469,2012,4,222,570,223,0.995515695
BIHAW,469,2012,5,214,541,223,0.959641256
BIHAW,469,2012,6,217,636,223,0.97309417
BIHAW,469,2012,7,223,594,223,1.0
BIHAW,469,2012,8,226,606,227,0.995594714
BIHAW,469,2012,9,223,545,228,0.978070175
BIHAW,469,2012,10,217,441,228,0.951754386
BIHAW,469,2012,11,149,336,228,0.653508772
BIHAW,469,2012,12,204,625,220,0.927272727
BIHAW,469,2013,1,227,489,227,1.0
BIHAW,469,2013,2,227,484,227,1.0
BIHAW,469,2013,3,213,490,228,0.934210526
BIHAW,469,2013,4,227,766,228,0.995614035
BIHAW,469,2013,5,225,1008,228,0.986842105
BIHAW,469,2013,6,216,818,227,0.95154185
BIHAW,469,2013,7,225,866,227,0.991189427
BIHAW,469,2013,8,227,924,227,1.0
BIHAW,469,2013,9,228,789,228,1.0
