customer_code,year,month,reason_code_description_new_new,order_qty_in_cases,allocated_qty_in_cases,non_allocated_qty_in_cases,simple avg allocated percent,simple avg allocated value percent,allocated_value,total_order_value
1524,2013,10,NOTINV,27.0,0.0,27.0,0.0,0.0,0.0,47089.84
1479,2013,10,STONOTAVA,5.67,0.0,5.67,0.0,0.0,0.0,16600.08
2217,2013,10,STONOTAVA,12.17,0.0,12.17,0.0,0.0,0.0,37999.33
1961,2013,10,NOTINV,4.0,0.0,4.0,0.0,0.0,0.0,22867.2
1476,2013,10,NOTINV,5.0,0.0,5.0,0.0,0.0,0.0,5772.0
2185,2013,10,STONOTAVA,74.0,0.0,74.0,0.0,0.0,0.0,255735.42
1322,2013,10,CREISS,9.0,0.0,9.0,0.0,0.0,0.0,36567.56
29,2013,10,STONOTAVA,116.47,0.0,116.47,0.0,0.0,0.0,390208.16
374,2013,10,STONOTAVA,91.02,0.0,91.02,0.0,0.0,0.0,277133.91
2568,2013,10,OTHE,0.17,0.0,0.17,0.0,0.0,0.0,1114.04
2568,2013,10,STONOTAVA,5.92,0.0,5.92,0.0,0.0,0.0,17552.19
394,2013,10,CREISS,1090.0,0.0,1090.0,0.0,0.0,0.0,3145996.5
1823,2013,10,STONOTAVA,99.67,0.0,99.67,0.0,0.0,0.0,311073.16
1891,2013,10,CREISS,128.0,0.0,128.0,0.0,0.0,0.0,424292.2
438,2013,10,STONOTAVA,333.26,0.0,333.26,0.0,0.0,0.0,1444804.46
2198,2013,10,STONOTAVA,3.26,0.0,3.26,0.0,0.0,0.0,10931.84
1494,2013,10,STONOTAVA,89.0,0.0,89.0,0.0,0.0,0.0,211312.88
2329,2013,10,CREISS,59.0,0.0,59.0,0.0,0.0,0.0,211424.12
2712,2013,10,CREISS,22.0,0.0,22.0,0.0,0.0,0.0,85709.42
2121,2013,10,STONOTAVA,38.25,0.0,38.25,0.0,0.0,0.0,119141.46
1411,2013,10,NOTINV,0.04,0.0,0.04,0.0,0.0,0.0,48.7
24,2013,10,CREISS,56.0,0.0,56.0,0.0,0.0,0.0,231116.18
153,2013,10,STONOTAVA,10.0,0.0,10.0,0.0,0.0,0.0,31998.18
1205,2013,10,CREISS,79.0,0.0,79.0,0.0,0.0,0.0,261015.28
1206,2013,10,OTHE,4.0,0.0,4.0,0.0,0.0,0.0,4261.44
975,2013,10,CREISS,458.63,0.0,458.63,0.0,0.0,0.0,1491340.72
1713,2013,10,STONOTAVA,3.0,0.0,3.0,0.0,0.0,0.0,11399.28
1470,2013,10,STONOTAVA,27.0,0.0,27.0,0.0,0.0,0.0,108058.2
1249,2013,10,STONOTAVA,7.0,0.0,7.0,0.0,0.0,0.0,16471.0
2557,2013,10,OTHE,32.0,0.0,32.0,0.0,0.0,0.0,164816.2
280,2013,10,STONOTAVA,5.0,0.0,5.0,0.0,0.0,0.0,28406.4
2722,2013,10,OTHE,2.01,0.0,2.01,0.0,0.0,0.0,7714.53
2174,2013,10,STONOTAVA,2.21,0.0,2.21,0.0,0.0,0.0,4549.86
1120,2013,10,NOTINV,51.0,0.0,51.0,0.0,0.0,0.0,97258.56
