claim_year,quarter,customer_code,policy_flag,calendar_quarter,calendar_year
2012,P2,384,WITHP,P3,2012
2012,P2,390,WITHP,P3,2012
2012,P2,395,WITHP,P3,2012
2012,P2,410,WITHP,P3,2012
2012,P2,412,WITHP,P3,2012
2012,P2,438,WITHP,P3,2012
2012,P2,451,BEYOP,P3,2012
2012,P2,467,WITHP,P3,2012
2012,P2,474,BEYOP,P3,2012
2012,P2,475,WITHP,P3,2012
2012,P2,478,WITHP,P3,2012
2012,P2,481,WITHP,P3,2012
2012,P2,520,WITHP,P3,2012
2012,P2,533,WITHP,P3,2012
2012,P2,534,WITHP,P3,2012
2012,P2,537,WITHP,P3,2012
2011,P4,1062,PEND,P1,2012
2011,P4,1101,BEYOP,P1,2012
2011,P4,1198,BEYOP,P1,2012
2011,P4,1223,BEYOP,P1,2012
2011,P4,1235,BEYOP,P1,2012
2011,P4,1390,WITHP,P1,2012
2011,P4,1536,BEYOP,P1,2012
2011,P4,1690,PEND,P1,2012
2011,P4,1799,BEYOP,P1,2012
2011,P4,1840,WITHP,P1,2012
2011,P4,1845,BEYOP,P1,2012
2011,P4,1939,PEND,P1,2012
2011,P4,2036,BEYOP,P1,2012
2011,P4,2074,PEND,P1,2012
2011,P4,183,PEND,P1,2012
2011,P4,648,BEYOP,P1,2012
2011,P4,1972,PEND,P1,2012
2012,P2,42,WITHP,P3,2012
2012,P2,45,WITHP,P3,2012
2012,P2,144,WITHP,P3,2012
2012,P2,294,WITHP,P3,2012
2012,P2,399,WITHP,P3,2012
2012,P2,482,WITHP,P3,2012
2012,P2,607,WITHP,P3,2012
2012,P2,1090,WITHP,P3,2012
2012,P2,1203,WITHP,P3,2012
2012,P2,1235,WITHP,P3,2012
2012,P2,1780,WITHP,P3,2012
2012,P2,1896,WITHP,P3,2012
2012,P2,1961,WITHP,P3,2012
2012,P2,2287,PEND,P3,2012
2012,P2,79,WITHP,P3,2012
2012,P2,2335,WITHP,P3,2012
2012,P2,121,WITHP,P3,2012
2012,P2,382,WITHP,P3,2012
2012,P2,1754,WITHP,P3,2012
2012,P2,166,WITHP,P3,2012
2012,P2,1363,PEND,P3,2012
2012,P2,1697,PEND,P3,2012
2012,P2,1455,WITHP,P3,2012
2012,P2,52,WITHP,P3,2012
2012,P2,1722,WITHP,P3,2012
2012,P2,2,WITHP,P3,2012
2012,P2,13,WITHP,P3,2012
2012,P2,15,BEYOP,P3,2012
